Indicator,Taxonomic Level,"Matching EFG, Biome","Matching EFG, Biome (full name)",Notes,Ecoregions,pallete,Reference,Region
Phragmites australis,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Picea abies,Species,T2.1,Boreal and temperate high montane forests and woodlands,,,#006051,Evergreen coniferous woody plant (may occour in fens),
Potentilla erecta,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Primula farinosa,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Rubus chamaemorus,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Salix cinerea,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Salix lapponum,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Salix myrsinites,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Salix pentandra,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Salix phylicifolia,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Salix rosmarinifolia,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Schoenus ferrugineus,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Scorpidium trifarium,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Selaginella selaginoides,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
Sphagnum contortum,Species,TF1.7,Boreal and temperate fens,,,#DFF1CF,"Fen Bog difference scoping run conducted by Ben Steer (Gorham, E., & Janssens, J. A. (1992);Kuznetsov, O. L. (2022, September).;Wieder, R. K., & Vitt, D. H. (Eds.). (2006).",
